,id,sensor_id,timestamp,b_x,b_y,b_z,lat,lon
49,52218000,S20251008_105355_44180345587365_2,2025-10-16T11:19:31.198,18686.6,-9423.39,41604.38,0,0
50,52218060,S20251008_105355_44180345587365_2,2025-10-16T11:19:34.575,18659.9,-9396.69,41604.38,0,0
51,52218120,S20251008_105355_44180345587365_2,2025-10-16T11:19:37.949,18646.56,-9370,41564.34,0,0
52,52218180,S20251008_105355_44180345587365_2,2025-10-16T11:19:41.357,18633.21,-9396.69,41591.03,0,0
53,52218240,S20251008_105355_44180345587365_2,2025-10-16T11:19:24.953,18633.21,-9356.65,41631.07,0,0
54,52218300,S20251008_105355_44180345587365_2,2025-10-16T11:19:28.323,18673.25,-9423.39,41604.38,0,0
55,52218360,S20251008_105355_44180345587365_2,2025-10-16T11:19:31.701,18659.9,-9423.39,41577.68,0,0
56,52218420,S20251008_105355_44180345587365_2,2025-10-16T11:19:35.083,18659.9,-9410.04,41564.34,0,0
57,52218480,S20251008_105355_44180345587365_2,2025-10-16T11:19:38.474,18686.6,-9396.69,41550.99,0,0
58,52218540,S20251008_105355_44180345587365_2,2025-10-16T11:19:41.859,18633.21,-9423.39,41591.03,0,0
59,52218600,S20251008_105355_44180345587365_2,2025-10-16T11:19:45.320,18673.25,-9396.69,41591.03,0,0
60,52218660,S20251008_105355_44180345587365_2,2025-10-16T11:19:48.697,18659.9,-9370,41604.38,0,0
61,52218720,S20251008_105355_44180345587365_2,2025-10-16T11:19:52.088,18619.86,-9370,41644.42,0,0
62,52218780,S20251008_105355_44180345587365_2,2025-10-16T11:19:55.469,18619.86,-9329.95,41577.68,0,0
63,52218840,S20251008_105355_44180345587365_2,2025-10-16T11:19:58.911,18659.9,-9423.39,41631.07,0,0
64,52218900,S20251008_105355_44180345587365_2,2025-10-16T11:20:02.291,18673.25,-9396.69,41604.38,0,0
65,52218960,S20251008_105355_44180345587365_2,2025-10-16T11:20:05.677,18673.25,-9370,41644.42,0,0
66,52219020,S20251008_105355_44180345587365_2,2025-10-16T11:19:47.175,18606.51,-9316.6,41577.68,0,0
67,52219080,S20251008_105355_44180345587365_2,2025-10-16T11:19:50.563,18619.86,-9370,41591.03,0,0
68,52219140,S20251008_105355_44180345587365_2,2025-10-16T11:19:53.941,18633.21,-9356.65,41550.99,0,0
69,52219200,S20251008_105355_44180345587365_2,2025-10-16T11:19:57.393,18633.21,-9356.65,41591.03,0,0
70,52219260,S20251008_105355_44180345587365_2,2025-10-16T11:20:00.775,18659.9,-9410.04,41604.38,0,0
71,52219320,S20251008_105355_44180345587365_2,2025-10-16T11:20:04.154,18659.9,-9410.04,41617.73,0,0
72,52219380,S20251008_105355_44180345587365_2,2025-10-16T11:20:07.534,18633.21,-9343.3,41577.68,0,0
73,52219440,S20251008_105355_44180345587365_2,2025-10-16T11:20:10.907,18646.56,-9370,41577.68,0,0
74,52219500,S20251008_105355_44180345587365_2,2025-10-16T11:20:14.282,18646.56,-9370,41564.34,0,0
75,52219560,S20251008_105355_44180345587365_2,2025-10-16T11:20:17.665,18633.21,-9370,41550.99,0,0
76,52219620,S20251008_105355_44180345587365_2,2025-10-16T11:20:21.061,18686.6,-9423.39,41577.68,0,0
77,52219680,S20251008_105355_44180345587365_2,2025-10-16T11:20:24.434,18673.25,-9396.69,41604.38,0,0
78,52219740,S20251008_105355_44180345587365_2,2025-10-16T11:20:27.804,18686.6,-9423.39,41591.03,0,0
79,52219800,S20251008_105355_44180345587365_1,2025-10-16T11:20:09.868,24052.32,-9490.12,37333.16,0,0
80,52219860,S20251008_105355_44180345587365_1,2025-10-16T11:20:13.248,24012.28,-9516.82,37319.81,0,0
81,52219920,S20251008_105355_44180345587365_1,2025-10-16T11:20:16.627,23985.58,-9396.69,37373.2,0,0
82,52219980,S20251008_105355_44180345587365_1,2025-10-16T11:20:20.028,24025.63,-9503.47,37333.16,0,0
83,52220040,S20251008_105355_44180345587365_1,2025-10-16T11:20:23.399,24025.63,-9530.17,37346.5,0,0
84,52220100,S20251008_105355_44180345587365_1,2025-10-16T11:20:26.771,24025.63,-9490.12,37346.5,0,0
85,52220160,S20251008_105355_44180345587365_1,2025-10-16T11:20:30.133,23972.24,-9356.65,37333.16,0,0
86,52220220,S20251008_105355_44180345587365_1,2025-10-16T11:20:33.509,23972.24,-9370,37359.85,0,0
87,52220280,S20251008_105355_44180345587365_1,2025-10-16T11:20:36.871,23985.58,-9356.65,37359.85,0,0
88,52220340,S20251008_105355_44180345587365_1,2025-10-16T11:20:40.246,23998.93,-9450.08,37359.85,0,0
89,52220400,S20251008_105355_44180345587365_1,2025-10-16T11:20:43.631,23932.2,-9436.73,37333.16,0,0
90,52220460,S20251008_105355_44180345587365_1,2025-10-16T11:20:47.007,24025.63,-9516.82,37359.85,0,0
91,52220520,S20251008_105355_44180345587365_1,2025-10-16T11:20:50.372,23998.93,-9530.17,37359.85,0,0
92,52220580,S20251008_105355_44180345587365_1,2025-10-16T11:20:53.751,23998.93,-9436.73,37373.2,0,0
93,52220640,S20251008_105355_44180345587365_3,2025-10-16T11:20:35.720,30032.04,947.68,29818.47,0,0
94,52220700,S20251008_105355_44180345587365_3,2025-10-16T11:20:39.084,29965.3,1067.81,29765.08,0,0
95,52220760,S20251008_105355_44180345587365_3,2025-10-16T11:20:42.471,30018.69,1001.07,29791.78,0,0
96,52220820,S20251008_105355_44180345587365_3,2025-10-16T11:20:45.849,29965.3,987.72,29818.47,0,0
97,52220880,S20251008_105355_44180345587365_3,2025-10-16T11:20:49.210,30045.38,934.33,29805.13,0,0
98,52220940,S20251008_105355_44180345587365_3,2025-10-16T11:20:52.595,29978.64,1027.76,29778.43,0,0
99,52221000,S20251008_105355_44180345587365_3,2025-10-16T11:20:55.972,30045.38,987.72,29831.82,0,0
