id,sensor_id,timestamp,b_x,b_y,b_z,lat,lon,alt,theta_x,theta_y,theta_z
111502140,S20251107_171944_OBS2_3,"2025-11-09 09:50:28.711000",27776.29,5419.11,34676.99,0.0,0.0,0.0,0.0,-0.81,1.56
111502500,S20251107_154804_OBS1_2,"2025-11-09 09:50:29.691000",16537.64,-9903.9,42231.71,0.0,0.0,0.0,0.13,2.19,0.0
111503160,S20251107_154804_OBS1_1,"2025-11-09 09:50:29.957000",23411.64,-10290.98,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111502800,S20251107_171944_OBS2_2,"2025-11-09 09:50:30.813000",28630.54,5912.97,35811.54,0.0,0.0,0.0,0.0,-0.81,1.56
111502560,S20251107_154804_OBS1_2,"2025-11-09 09:50:31.691000",16617.72,-9970.64,42258.41,0.0,0.0,0.0,0.13,2.19,0.0
111503220,S20251107_154804_OBS1_1,"2025-11-09 09:50:31.959000",23371.6,-10290.98,37520.02,0.0,0.0,0.0,0.13,2.19,0.0
111502920,S20251107_171944_OBS2_3,"2025-11-09 09:50:32.725000",27802.99,5499.2,34730.38,0.0,0.0,0.0,0.0,-0.81,1.56
111502620,S20251107_154804_OBS1_2,"2025-11-09 09:50:33.690000",16591.03,-9997.33,42191.67,0.0,0.0,0.0,0.13,2.19,0.0
111503280,S20251107_154804_OBS1_1,"2025-11-09 09:50:33.959000",23384.95,-10290.98,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111502860,S20251107_171944_OBS2_2,"2025-11-09 09:50:34.641000",28643.89,5926.32,35798.19,0.0,0.0,0.0,0.0,-0.81,1.56
111502680,S20251107_154804_OBS1_2,"2025-11-09 09:50:35.703000",16711.16,-9970.64,42231.71,0.0,0.0,0.0,0.13,2.19,0.0
111503340,S20251107_154804_OBS1_1,"2025-11-09 09:50:35.958000",23344.9,-10317.67,37560.07,0.0,0.0,0.0,0.13,2.19,0.0
111502980,S20251107_171944_OBS2_3,"2025-11-09 09:50:36.546000",27776.29,5512.55,34770.43,0.0,0.0,0.0,0.0,-0.81,1.56
111503400,S20251107_154804_OBS1_1,"2025-11-09 09:50:37.961000",23358.25,-10250.93,37506.68,0.0,0.0,0.0,0.13,2.19,0.0
111503880,S20251107_154804_OBS1_1,"2025-11-09 09:50:39.160000",23371.6,-10304.33,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111503460,S20251107_154804_OBS1_1,"2025-11-09 09:50:39.960000",23384.95,-10264.28,37479.98,0.0,0.0,0.0,0.13,2.19,0.0
111503040,S20251107_171944_OBS2_3,"2025-11-09 09:50:40.373000",27802.99,5472.5,34730.38,0.0,0.0,0.0,0.0,-0.81,1.56
